Player,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,PPG,PPP,OTG,GWG,S,S%,TOI/GP,FOW%
Leon Draisaitl,EDM,C,71,43,67,110,-7,18,1,55,27,16,44,2,10,218,19,7,22:37,52,1
Connor McDavid,EDM,C,64,34,63,97,-6,28,1,52,23,11,43,0,6,212,16,21:52,47,8
David Pastrnak,BOS,R,70,48,47,95,21,40,1,36,28,20,38,1,10,279,17,2,18:58,38,9
Artemi Panarin,NYR,L,69,32,63,95,36,20,1,38,25,7,24,0,4,209,15,3,20:36,50
Nathan MacKinnon,COL,C,69,35,58,93,13,12,1,35,23,12,31,2,4,318,11,21:13,43,1
Brad Marchand,BOS,L,70,28,59,87,25,82,1,24,22,5,28,0,5,185,15,1,19:27,43,1
Nikita Kucherov,TBL,R,68,33,52,85,26,38,1,25,29,4,25,3,6,210,15,7,18:52,0
Patrick Kane,CHI,R,70,33,51,84,8,40,1,2,25,8,23,1,2,275,12,21:20,25
Auston Matthews,TOR,C,70,47,33,80,19,8,1,14,35,12,25,0,5,290,16,2,20:58,55
Jack Eichel,BUF,C,68,36,42,78,5,34,1,15,24,11,27,3,9,227,15,9,22:06,46,8
Jonathan Huberdeau,FLA,L,69,23,55,78,5,30,1,13,18,5,29,1,3,152,15,1,18:46,39,3
Mika Zibanejad,NYR,C,57,41,34,75,9,14,1,32,23,15,27,2,6,208,19,7,21:38,49,2
John Carlson,WSH,D,69,15,60,75,12,26,1,09,13,2,26,0,6,189,7,9,24:38:00,0
Evgeni Malkin,PIT,C,55,25,49,74,7,58,1,35,18,7,24,0,5,171,14,6,19:31,50,3
Kyle Connor,WPG,L,71,38,35,73,4,34,1,03,28,9,17,1,7,239,15,9,21:05,15,4
Mark Scheifele,WPG,C,71,29,44,73,2,45,1,03,19,10,20,2,6,170,17,1,21:48,46,9
J.T. Miller,VAN,C,69,27,45,72,11,47,1,04,18,9,25,1,3,165,16,4,20:06,59,2
Alex Ovechkin,WSH,L,68,48,19,67,-12,30,0,99,35,13,18,1,3,311,15,4,20:40,100
Mitchell Marner,TOR,R,59,16,51,67,6,16,1,14,10,6,24,1,2,154,10,4,21:33,26,9
Sebastian Aho,CAR,C,68,38,28,66,10,26,0,97,26,8,17,0,5,206,18,5,19:25,46
Max Pacioretty,VGK,L,71,32,34,66,18,44,0,93,24,8,19,1,5,307,10,4,17:55,53,1
Steven Stamkos,TBL,C,57,29,37,66,14,22,1,16,19,10,19,0,6,176,16,5,18:25,54,3
Elias Pettersson,VAN,C,68,27,39,66,16,18,0,97,19,8,24,1,5,162,16,7,18:32,41,8
Blake Wheeler,WPG,R,71,22,43,65,1,37,0,92,17,4,22,0,2,180,12,2,19:19,49,9
Roman Josi,NSH,D,69,16,49,65,22,41,0,94,12,4,23,0,1,260,6,2,25:47:00,--
Brayden Point,TBL,C,66,25,39,64,28,11,0,97,17,8,13,0,4,141,17,7,18:54,51,1
Patrik Laine,WPG,R,68,28,35,63,8,22,0,93,20,8,16,0,1,226,12,4,19:25,37
Mark Stone,VGK,R,65,21,42,63,15,27,0,97,15,6,17,0,3,168,12,5,19:25,34,8
Teuvo Teravainen,CAR,L,68,15,48,63,20,8,0,93,10,4,21,0,1,182,8,2,19:12,49,1
Anze Kopitar,LAK,C,70,21,41,62,6,16,0,89,13,7,21,1,5,135,15,6,21:02,55,2
Aleksander Barkov,FLA,C,66,20,42,62,2,18,0,94,13,7,20,0,2,172,11,6,20:01,54,3
Travis Konecny,PHI,R,66,24,37,61,-1,28,0,92,19,5,23,0,3,141,17,16:48,49
Andrei Svechnikov,CAR,R,68,24,37,61,9,54,0,9,18,6,20,1,5,183,13,1,16:44,0
Matthew Tkachuk,CGY,L,69,23,38,61,-5,74,0,88,18,5,19,2,4,188,12,2,18:18,0
Tomas Tatar,MTL,L,68,22,39,61,5,36,0,9,14,8,14,0,1,162,13,6,16:18,36
Ryan Nugent-Hopkins,EDM,C,65,22,39,61,1,33,0,94,15,7,24,0,4,172,12,8,20:28,50,7
Ryan O'Reilly,STL,C,71,12,49,61,11,10,0,86,9,2,18,1,3,118,10,2,20:34,56,6
John Tavares,TOR,C,63,26,34,60,-7,24,0,95,19,7,21,3,4,197,13,2,19:33,55,3
David Perron,STL,L,71,25,35,60,2,52,0,85,16,9,27,4,9,166,15,1,18:19,37,5
Mathew Barzal,NYI,C,68,19,41,60,5,44,0,88,15,4,12,0,2,171,11,1,20:03,41,6
Jonathan Toews,CHI,C,70,18,42,60,-2,48,0,86,16,1,8,3,3,172,10,5,19:47,57,3
William Nylander,TOR,R,68,31,28,59,-2,12,0,87,22,9,17,1,7,197,15,7,18:13,50
Mike Hoffman,FLA,L,69,29,30,59,-5,28,0,86,18,11,21,0,3,214,13,6,16:50,46,7
Sean Couturier,PHI,C,69,22,37,59,21,30,0,86,18,4,13,1,4,185,11,9,19:50,59,6
Ryan Strome,NYR,C,70,18,41,59,21,48,0,84,15,3,17,0,3,154,11,7,19:35,47,5
Brayden Schenn,STL,C,71,25,33,58,3,44,0,82,15,10,21,0,4,138,18,1,18:28,49
Nikolaj Ehlers,WPG,L,71,25,33,58,14,30,0,82,21,3,5,0,5,203,12,3,16:31,0
Johnny Gaudreau,CGY,L,70,18,40,58,-10,12,0,83,12,6,18,0,2,209,8,6,18:47,25
Jaden Schwartz,STL,L,71,22,35,57,3,18,0,8,13,9,20,1,4,162,13,6,18:11,45
Patrice Bergeron,BOS,C,61,31,25,56,23,28,0,92,19,11,20,1,5,203,15,3,18:44,57,9
