Player,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,PPG,PPP,OTG,GWG,S,S%,TOI/GP,FOW%
Connor McDavid,EDM,C,82,30,70,100,27,26,1,22,26,3,27,1,6,251,12,21:08,43,2
Sidney Crosby,PIT,C,75,44,45,89,17,24,1,19,30,14,25,1,5,255,17,3,19:53,48,2
Patrick Kane,CHI,R,82,34,55,89,11,32,1,09,27,7,23,1,5,292,11,6,21:24,13,7
Nicklas Backstrom,WSH,C,82,23,63,86,17,38,1,05,15,8,35,2,5,162,14,2,18:16,51,4
Nikita Kucherov,TBL,R,74,40,45,85,13,38,1,15,23,17,32,1,7,246,16,3,19:26,--
Brad Marchand,BOS,L,80,39,46,85,18,81,1,06,27,9,24,1,8,226,17,3,19:26,36,1
Mark Scheifele,WPG,C,79,32,50,82,18,38,1,04,25,7,15,2,5,160,20,20:34,43,5
Leon Draisaitl,EDM,C,82,29,48,77,7,20,0,94,19,10,27,3,5,172,16,9,18:53,49
Brent Burns,SJS,D,82,29,47,76,19,40,0,93,21,8,25,3,6,320,9,1,24:52,--
Vladimir Tarasenko,STL,R,82,39,36,75,-1,12,0,91,30,9,22,3,8,286,13,6,18:28,50
Artemi Panarin,CHI,L,82,31,43,74,18,21,0,9,22,9,17,1,5,211,14,7,19:28,20
Blake Wheeler,WPG,R,82,26,48,74,6,47,0,9,19,5,21,0,4,259,10,20:09,45,7
Ryan Getzlaf,ANA,C,74,15,58,73,7,49,0,99,7,6,20,0,3,138,10,9,21:04,50,3
Evgeni Malkin,PIT,C,62,33,39,72,18,77,1,16,22,11,23,1,6,191,17,3,18:37,43,1
Tyler Seguin,DAL,C,82,26,46,72,-15,22,0,88,15,11,29,1,4,301,8,6,18:28,51
Victor Hedman,TBL,D,79,16,56,72,3,47,0,91,12,4,33,2,5,166,9,6,24:31,--
Erik Karlsson,OTT,D,77,17,54,71,10,28,0,92,13,4,27,1,5,218,7,8,26:50,--
David Pastrnak,BOS,R,75,34,36,70,11,34,0,93,24,10,24,2,6,262,13,17:59,66,7
Phil Kessel,PIT,R,82,23,47,70,3,20,0,85,15,8,30,1,4,229,10,17:56,33,3
Auston Matthews,TOR,C,82,40,29,69,2,14,0,84,32,8,21,1,8,279,14,3,17:38,46,8
Alex Ovechkin,WSH,L,82,33,36,69,6,50,0,84,16,17,26,2,7,313,10,5,18:22,0
Jamie Benn,DAL,L,77,26,43,69,-9,66,0,9,13,12,26,2,4,201,12,9,19:22,51,5
Mikael Granlund,MIN,C,81,26,43,69,23,12,0,85,16,7,20,1,4,177,14,7,18:49,48,5
Joe Pavelski,SJS,C,81,29,39,68,11,34,0,84,21,7,22,0,7,233,12,5,19:07,52,5
Henrik Zetterberg,DET,C,82,17,51,68,15,22,0,83,15,2,13,0,0,195,8,7,19:43,51,8
Max Pacioretty,MTL,L,81,35,32,67,15,38,0,83,26,8,13,2,7,268,13,1,19:11,54
Jeff Carter,LAK,C,82,32,34,66,2,41,0,8,21,10,22,4,9,250,12,8,18:02,51,9
John Tavares,NYI,C,77,28,38,66,4,38,0,86,20,7,18,1,3,260,10,8,20:25,50,6
Eric Staal,MIN,C,82,28,37,65,17,34,0,79,23,4,16,0,8,211,13,3,18:36,49,2
Patrik Laine,WPG,R,73,36,28,64,7,26,0,88,27,9,14,1,5,204,17,7,17:55,0
Nikolaj Ehlers,WPG,L,82,25,39,64,1,38,0,78,20,5,12,0,4,204,12,3,17:29,0
Jeff Skinner,CAR,L,79,37,26,63,-3,28,0,8,30,7,15,0,4,281,13,2,17:44,37
Cam Atkinson,CBJ,R,82,35,27,62,13,22,0,76,22,10,21,3,9,240,14,6,18:05,66,7
James van Riemsdyk,TOR,L,82,29,33,62,-2,37,0,76,23,6,19,0,5,238,12,2,15:53,20
Nazem Kadri,TOR,C,82,32,29,61,-7,95,0,74,20,12,17,2,6,236,13,6,16:35,48
Viktor Arvidsson,NSH,R,80,31,30,61,16,28,0,76,22,4,9,1,6,246,12,6,17:09,25
Mike Hoffman,OTT,L,74,26,35,61,17,51,0,82,13,13,26,1,8,224,11,6,17:36,57,1
William Nylander,TOR,R,81,22,39,61,-3,32,0,75,13,9,26,0,2,205,10,7,16:01,40,2
Jakub Voracek,PHI,R,82,20,41,61,-24,56,0,74,15,5,23,2,3,253,7,9,19:05,21,4
Mitchell Marner,TOR,R,77,19,42,61,0,38,0,79,15,4,21,0,5,176,10,8,16:49,37,8
Johnny Gaudreau,CGY,L,72,18,43,61,-7,4,0,85,14,4,16,1,3,182,9,9,18:29,--
Ryan Johansen,NSH,C,82,14,47,61,1,60,0,74,9,4,23,0,3,154,9,1,18:50,54,6
Evgeny Kuznetsov,WSH,C,82,19,40,59,18,46,0,72,16,3,14,0,4,170,11,2,16:57,44
Mats Zuccarello,NYR,R,80,15,44,59,15,26,0,74,10,5,14,0,3,189,7,9,18:50,46,2
Alexander Wennberg,CBJ,C,80,13,46,59,9,21,0,74,11,2,23,0,5,109,11,9,18:23,47,4
Filip Forsberg,NSH,L,82,31,27,58,-4,32,0,71,25,3,9,1,9,234,13,3,18:31,27,8
Sean Monahan,CGY,C,82,27,31,58,-1,20,0,71,18,8,17,2,4,199,13,6,17:35,51,5
Marcus Johansson,WSH,L,82,24,34,58,25,10,0,71,19,5,19,2,5,129,18,6,17:00,46,4
Ryan Kesler,ANA,C,82,22,36,58,8,83,0,71,14,8,20,0,2,186,11,8,21:18,57,4
Jonathan Toews,CHI,C,72,21,37,58,7,35,0,81,15,6,17,1,5,199,10,6,20:09,54,9
