Player,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,PPG,PPP,OTG,GWG,S,S%,TOI/GP,FOW%
Jamie Benn,DAL,L,82,35,52,87,1,64,1,06,23,10,23,0,6,253,13,8,19:57,51,7
John Tavares,NYI,C,82,38,48,86,5,46,1,05,25,13,31,4,8,278,13,7,20:40,52,2
Sidney Crosby,PIT,C,77,28,56,84,5,47,1,09,18,10,31,1,3,237,11,8,19:58,49,9
Alex Ovechkin,WSH,L,81,53,28,81,10,58,1,28,25,34,0,11,395,13,4,20:20,40
Jakub Voracek,PHI,R,82,22,59,81,1,78,0,99,11,11,33,2,3,221,10,18:36,66,7
Nicklas Backstrom,WSH,C,82,18,60,78,5,40,0,95,15,3,33,1,3,153,11,8,20:32,53,6
Tyler Seguin,DAL,C,71,37,40,77,-1,20,1,08,24,13,29,0,5,280,13,2,19:33,53,8
Jiri Hudler,CGY,R,78,31,45,76,17,14,0,97,25,6,16,1,5,158,19,6,18:01,45,7
Daniel Sedin,VAN,L,82,20,56,76,5,18,0,93,16,4,25,3,5,226,8,9,18:21,40
Vladimir Tarasenko,STL,R,77,37,36,73,27,31,0,95,29,8,18,2,6,264,14,17:37,0
Nick Foligno,CBJ,L,79,31,42,73,16,50,0,92,20,11,26,1,3,182,17,18:50,47,5
Claude Giroux,PHI,C,81,25,48,73,-3,36,0,9,11,14,37,2,4,279,9,20:34,56,6
Henrik Sedin,VAN,C,82,18,55,73,11,22,0,89,13,5,25,0,0,101,17,8,18:37,45
Steven Stamkos,TBL,C,82,43,29,72,2,49,0,88,30,13,25,0,6,268,16,19:22,49,7
Tyler Johnson,TBL,C,77,29,43,72,33,24,0,94,21,8,17,2,6,203,14,3,17:14,48,7
Ryan Johansen,CBJ,C,82,26,45,71,-6,40,0,87,17,7,26,0,0,202,12,9,19:30,52
Joe Pavelski,SJS,C,82,37,33,70,12,29,0,85,18,19,31,0,5,261,14,2,20:08,56
Evgeni Malkin,PIT,C,69,28,42,70,-2,60,1,01,19,9,26,1,4,212,13,2,18:58,42,7
Ryan Getzlaf,ANA,C,77,25,45,70,15,62,0,91,22,3,13,2,6,191,13,1,20:06,50,6
Rick Nash,NYR,L,79,42,27,69,29,36,0,87,32,6,12,0,8,304,13,8,17:27,50
Max Pacioretty,MTL,L,80,37,30,67,38,32,0,84,27,7,11,2,10,302,12,3,19:24,22,2
Logan Couture,SJS,C,82,27,40,67,-6,12,0,82,19,6,24,0,4,263,10,3,19:04,48,2
Jonathan Toews,CHI,C,81,28,38,66,30,36,0,81,20,6,17,1,7,192,14,6,19:34,56,5
Erik Karlsson,OTT,D,82,21,45,66,7,42,0,8,15,6,30,1,3,292,7,2,27:15,--
Henrik Zetterberg,DET,C,77,17,49,66,-6,32,0,86,13,4,28,1,3,227,7,5,19:07,50,9
Nikita Kucherov,TBL,R,82,29,36,65,38,37,0,79,27,2,15,0,2,191,15,2,14:57,0
Pavel Datsyuk,DET,C,63,26,39,65,12,8,1,03,18,8,24,1,5,165,15,8,19:03,53,6
Joe Thornton,SJS,C,78,16,49,65,-4,30,0,83,12,4,22,0,0,131,12,2,18:25,58
Patrick Kane,CHI,R,61,27,37,64,10,10,1,05,21,6,22,0,5,186,14,5,19:51,42,9
Mark Stone,OTT,R,80,26,38,64,21,14,0,8,20,5,13,2,6,157,16,6,17:01,38,9
Kyle Turris,OTT,C,82,24,40,64,5,36,0,78,19,4,16,1,6,215,11,2,19:13,50,1
Johnny Gaudreau,CGY,L,80,24,40,64,11,14,0,8,16,8,21,0,4,167,14,4,17:43,37,5
Alexander Steen,STL,L,74,24,40,64,8,33,0,86,16,8,24,1,5,223,10,8,19:59,50,4
Anze Kopitar,LAK,C,79,16,48,64,-2,10,0,81,10,6,24,0,4,134,11,9,19:23,52,6
Radim Vrbata,VAN,R,79,31,32,63,6,20,0,8,19,12,23,0,7,267,11,6,16:37,55,6
Jaden Schwartz,STL,L,75,28,35,63,13,16,0,84,20,8,16,1,4,184,15,2,18:15,46,6
Filip Forsberg,NSH,L,82,26,37,63,15,24,0,77,20,6,19,2,6,237,11,17:20,42,9
Jordan Eberle,EDM,R,81,24,39,63,-16,24,0,78,18,6,21,0,2,183,13,1,19:03,16,7
Ondrej Palat,TBL,L,75,16,47,63,31,24,0,84,12,3,11,1,5,139,11,5,17:26,28,6
Zach Parise,MIN,L,74,33,29,62,21,41,0,84,22,11,16,0,3,259,12,7,19:11,16,7
Sean Monahan,CGY,C,81,31,31,62,8,12,0,77,20,10,19,3,8,191,16,2,19:37,49,3
Jeff Carter,LAK,C,82,28,34,62,7,28,0,76,17,10,15,0,5,218,12,8,17:58,52,6
Andrew Ladd,WPG,L,81,24,38,62,9,72,0,77,15,9,19,1,6,224,10,7,20:04,35
Jason Spezza,DAL,C,82,17,45,62,-7,28,0,76,13,4,26,0,1,204,8,3,17:13,54
Mike Ribeiro,NSH,C,82,15,47,62,11,52,0,76,14,1,12,0,3,96,15,6,18:45,43,2
Blake Wheeler,WPG,R,79,26,35,61,26,73,0,77,20,2,12,0,6,244,10,7,19:40,45,8
Phil Kessel,TOR,R,82,25,36,61,-34,30,0,74,17,8,25,1,4,280,8,9,18:48,40
Marian Hossa,CHI,R,82,22,39,61,17,32,0,74,15,6,17,0,2,247,8,9,18:33,57,1
Scott Hartnell,CBJ,L,77,28,32,60,1,100,0,78,20,8,16,0,2,204,13,7,17:18,50
Tomas Plekanec,MTL,C,82,26,34,60,8,46,0,73,16,7,16,0,5,248,10,5,19:09,49,9
